spp,classe_nome,classe_num,adequab
Apis mellifera,Form_florestal,3,0.6
Apis mellifera,Form_savan,4,1
Apis mellifera,Form_campestre,12,1
Apis mellifera,Apicum,32,1
Apis mellifera,Aflora_rochoso,29,0.8
Apis mellifera,Pastagem,15,0.8
Apis mellifera,Agricultura,18,1
Apis mellifera,Silvicultura,9,0.8
Apis mellifera,Praia_duna_areial,23,0.8
Apis mellifera,Area_urbanizada,24,1
Centris fuscata,Form_florestal,3,1
Centris fuscata,Form_savan,4,1
Centris fuscata,Form_campestre,12,1
Centris fuscata,Apicum,32,0.4
Centris fuscata,Aflora_rochoso,29,0.4
Centris fuscata,Pastagem,15,0.2
Centris fuscata,Agricultura,18,0.4
Centris fuscata,Silvicultura,9,0.4
Centris fuscata,Praia_duna_areial,23,0.8
Centris fuscata,Area_urbanizada,24,0.2
Frieseomelita doederleini,Form_florestal,3,1
Frieseomelita doederleini,Form_savan,4,0.8
Frieseomelita doederleini,Form_campestre,12,0.8
Frieseomelita doederleini,Apicum,32,0.6
Frieseomelita doederleini,Aflora_rochoso,29,0.6
Frieseomelita doederleini,Pastagem,15,0.4
Frieseomelita doederleini,Agricultura,18,0.4
Frieseomelita doederleini,Silvicultura,9,0.4
Frieseomelita doederleini,Praia_duna_areial,23,0.6
Frieseomelita doederleini,Area_urbanizada,24,0.6
Frieseomelitta languida,Form_florestal,3,1
Frieseomelitta languida,Form_savan,4,0.8
Frieseomelitta languida,Form_campestre,12,0.8
Frieseomelitta languida,Apicum,32,0.6
Frieseomelitta languida,Aflora_rochoso,29,0.6
Frieseomelitta languida,Pastagem,15,0.4
Frieseomelitta languida,Agricultura,18,0.4
Frieseomelitta languida,Silvicultura,9,0.4
Frieseomelitta languida,Praia_duna_areial,23,0.6
Frieseomelitta languida,Area_urbanizada,24,0.6
Frieseomelitta varia,Form_florestal,3,1
Frieseomelitta varia,Form_savan,4,0.8
Frieseomelitta varia,Form_campestre,12,0.8
Frieseomelitta varia,Apicum,32,0.6
Frieseomelitta varia,Aflora_rochoso,29,0.6
Frieseomelitta varia,Pastagem,15,0.4
Frieseomelitta varia,Agricultura,18,0.4
Frieseomelitta varia,Silvicultura,9,0.4
Frieseomelitta varia,Praia_duna_areial,23,0.6
Frieseomelitta varia,Area_urbanizada,24,0.6
Oxytrigona tataira,Form_florestal,3,1
Oxytrigona tataira,Form_savan,4,1
Oxytrigona tataira,Form_campestre,12,1
Oxytrigona tataira,Apicum,32,0.6
Oxytrigona tataira,Aflora_rochoso,29,0.4
Oxytrigona tataira,Pastagem,15,0.4
Oxytrigona tataira,Agricultura,18,0.4
Oxytrigona tataira,Silvicultura,9,0.4
Oxytrigona tataira,Praia_duna_areial,23,0.8
Oxytrigona tataira,Area_urbanizada,24,0.2
Plebeia wittmanni,Form_florestal,3,0.8
Plebeia wittmanni,Form_savan,4,1
Plebeia wittmanni,Form_campestre,12,1
Plebeia wittmanni,Apicum,32,0.6
Plebeia wittmanni,Aflora_rochoso,29,0.4
Plebeia wittmanni,Pastagem,15,0.4
Plebeia wittmanni,Agricultura,18,0.6
Plebeia wittmanni,Silvicultura,9,0.6
Plebeia wittmanni,Praia_duna_areial,23,0.8
Plebeia wittmanni,Area_urbanizada,24,0.6
Tetragonisca angustula,Form_florestal,3,0.8
Tetragonisca angustula,Form_savan,4,1
Tetragonisca angustula,Form_campestre,12,1
Tetragonisca angustula,Apicum,32,0.6
Tetragonisca angustula,Aflora_rochoso,29,0.4
Tetragonisca angustula,Pastagem,15,0.4
Tetragonisca angustula,Agricultura,18,0.8
Tetragonisca angustula,Silvicultura,9,0.8
Tetragonisca angustula,Praia_duna_areial,23,0.8
Tetragonisca angustula,Area_urbanizada,24,0.8
Trigona spinipes,Form_florestal,3,1
Trigona spinipes,Form_savan,4,1
Trigona spinipes,Form_campestre,12,1
Trigona spinipes,Apicum,32,0.6
Trigona spinipes,Aflora_rochoso,29,0.4
Trigona spinipes,Pastagem,15,0.2
Trigona spinipes,Agricultura,18,1
Trigona spinipes,Silvicultura,9,1
Trigona spinipes,Praia_duna_areial,23,1
Trigona spinipes,Area_urbanizada,24,0.8
Xylocopa grisescens,Form_florestal,3,1
Xylocopa grisescens,Form_savan,4,1
Xylocopa grisescens,Form_campestre,12,1
Xylocopa grisescens,Apicum,32,0.4
Xylocopa grisescens,Aflora_rochoso,29,0.4
Xylocopa grisescens,Pastagem,15,0.4
Xylocopa grisescens,Agricultura,18,0.6
Xylocopa grisescens,Silvicultura,9,0.6
Xylocopa grisescens,Praia_duna_areial,23,0.8
Xylocopa grisescens,Area_urbanizada,24,1
Xylocopa suspecta,Form_florestal,3,1
Xylocopa suspecta,Form_savan,4,1
Xylocopa suspecta,Form_campestre,12,1
Xylocopa suspecta,Apicum,32,0.4
Xylocopa suspecta,Aflora_rochoso,29,0.4
Xylocopa suspecta,Pastagem,15,0.4
Xylocopa suspecta,Agricultura,18,0.6
Xylocopa suspecta,Silvicultura,9,0.6
Xylocopa suspecta,Praia_duna_areial,23,0.8
Xylocopa suspecta,Area_urbanizada,24,0.8
Centris nitens,Form_florestal,3,0.8
Centris nitens,Form_savan,4,0.8
Centris nitens,Form_campestre,12,1
Centris nitens,Apicum,32,0.4
Centris nitens,Aflora_rochoso,29,0.4
Centris nitens,Pastagem,15,0.2
Centris nitens,Agricultura,18,0.4
Centris nitens,Silvicultura,9,0.4
Centris nitens,Praia_duna_areial,23,0.8
Centris nitens,Area_urbanizada,24,0.2
Exomalopsis analis,Form_florestal,3,1
Exomalopsis analis,Form_savan,4,1
Exomalopsis analis,Form_campestre,12,1
Exomalopsis analis,Apicum,32,0.6
Exomalopsis analis,Aflora_rochoso,29,0.6
Exomalopsis analis,Pastagem,15,0.6
Exomalopsis analis,Agricultura,18,0.6
Exomalopsis analis,Silvicultura,9,0.6
Exomalopsis analis,Praia_duna_areial,23,0.8
Exomalopsis analis,Area_urbanizada,24,0.4
Exomalopsis auropilosa,Form_florestal,3,1
Exomalopsis auropilosa,Form_savan,4,1
Exomalopsis auropilosa,Form_campestre,12,1
Exomalopsis auropilosa,Apicum,32,0.6
Exomalopsis auropilosa,Aflora_rochoso,29,0.6
Exomalopsis auropilosa,Pastagem,15,0.6
Exomalopsis auropilosa,Agricultura,18,0.6
Exomalopsis auropilosa,Silvicultura,9,0.6
Exomalopsis auropilosa,Praia_duna_areial,23,0.8
Exomalopsis auropilosa,Area_urbanizada,24,0.4
Geotrigona mombuca,Form_florestal,3,0.8
Geotrigona mombuca,Form_savan,4,1
Geotrigona mombuca,Form_campestre,12,1
Geotrigona mombuca,Apicum,32,0.8
Geotrigona mombuca,Aflora_rochoso,29,0.6
Geotrigona mombuca,Pastagem,15,0.6
Geotrigona mombuca,Agricultura,18,0.6
Geotrigona mombuca,Silvicultura,9,0.6
Geotrigona mombuca,Praia_duna_areial,23,0.8
Geotrigona mombuca,Area_urbanizada,24,0.2
Melipona quadrifasciata,Form_florestal,3,1
Melipona quadrifasciata,Form_savan,4,1
Melipona quadrifasciata,Form_campestre,12,1
Melipona quadrifasciata,Apicum,32,0.6
Melipona quadrifasciata,Aflora_rochoso,29,0.4
Melipona quadrifasciata,Pastagem,15,0.2
Melipona quadrifasciata,Agricultura,18,0.6
Melipona quadrifasciata,Silvicultura,9,0.6
Melipona quadrifasciata,Praia_duna_areial,23,0.8
Melipona quadrifasciata,Area_urbanizada,24,0.4
Paratrigona lineata,Form_florestal,3,1
Paratrigona lineata,Form_savan,4,1
Paratrigona lineata,Form_campestre,12,1
Paratrigona lineata,Apicum,32,0.6
Paratrigona lineata,Aflora_rochoso,29,0.4
Paratrigona lineata,Pastagem,15,0.2
Paratrigona lineata,Agricultura,18,0.4
Paratrigona lineata,Silvicultura,9,0.4
Paratrigona lineata,Praia_duna_areial,23,0.6
Paratrigona lineata,Area_urbanizada,24,0.2
Plebeia droryana,Form_florestal,3,0.8
Plebeia droryana,Form_savan,4,1
Plebeia droryana,Form_campestre,12,1
Plebeia droryana,Apicum,32,0.6
Plebeia droryana,Aflora_rochoso,29,0.4
Plebeia droryana,Pastagem,15,0.4
Plebeia droryana,Agricultura,18,0.6
Plebeia droryana,Silvicultura,9,0.6
Plebeia droryana,Praia_duna_areial,23,0.8
Plebeia droryana,Area_urbanizada,24,0.8
Tetragona clavipes,Form_florestal,3,1
Tetragona clavipes,Form_savan,4,1
Tetragona clavipes,Form_campestre,12,1
Tetragona clavipes,Apicum,32,0.6
Tetragona clavipes,Aflora_rochoso,29,0.4
Tetragona clavipes,Pastagem,15,0.4
Tetragona clavipes,Agricultura,18,0.6
Tetragona clavipes,Silvicultura,9,0.6
Tetragona clavipes,Praia_duna_areial,23,0.6
Tetragona clavipes,Area_urbanizada,24,0.4
Trigona hyalinata,Form_florestal,3,1
Trigona hyalinata,Form_savan,4,1
Trigona hyalinata,Form_campestre,12,1
Trigona hyalinata,Apicum,32,0.6
Trigona hyalinata,Aflora_rochoso,29,0.4
Trigona hyalinata,Pastagem,15,0.2
Trigona hyalinata,Agricultura,18,0.4
Trigona hyalinata,Silvicultura,9,0.6
Trigona hyalinata,Praia_duna_areial,23,0.8
Trigona hyalinata,Area_urbanizada,24,0.4
Trigona recursa,Form_florestal,3,1
Trigona recursa,Form_savan,4,1
Trigona recursa,Form_campestre,12,1
Trigona recursa,Apicum,32,0.6
Trigona recursa,Aflora_rochoso,29,0.4
Trigona recursa,Pastagem,15,0.2
Trigona recursa,Agricultura,18,0.4
Trigona recursa,Silvicultura,9,0.6
Trigona recursa,Praia_duna_areial,23,0.8
Trigona recursa,Area_urbanizada,24,0.4
